iter	Accuracy	MultiClass
0	0.4854428822	2.004588221
1	0.5045545897	1.935628088
2	0.5112764569	1.879385876
3	0.512473736	1.831619341
4	0.512584351	1.792732624
5	0.5138962097	1.756532673
6	0.5166329345	1.72354323
7	0.5202600394	1.692892467
8	0.5184087359	1.667422169
9	0.5198265612	1.643857927
10	0.5207045999	1.622609776
11	0.520634962	1.603270254
12	0.5208768878	1.586285923
13	0.5226722467	1.569971178
14	0.5244066393	1.552803184
15	0.5261011479	1.537146184
16	0.5267872661	1.523075234
17	0.5269879768	1.512702249
18	0.5269255964	1.501083389
19	0.5266884926	1.490915051
20	0.5277980619	1.479530955
21	0.5284088821	1.467115287
22	0.5288795321	1.45561253
23	0.5302294435	1.444593935
24	0.5310648052	1.434697746
25	0.531559659	1.425854683
26	0.5316500079	1.418907259
27	0.5313578138	1.411125148
28	0.5319880287	1.404100793
29	0.5328626823	1.396213517
30	0.5333041733	1.388936932
31	0.5335479663	1.382788881
32	0.533739051	1.377255825
33	0.5344783611	1.370819159
34	0.5348002986	1.365558912
35	0.5350483947	1.359827566
36	0.5354169728	1.355383687
37	0.536251051	1.349720591
38	0.5368413492	1.344546971
39	0.5376125197	1.339103058
40	0.5379067045	1.334911952
41	0.5381275032	1.330501413
42	0.5385297248	1.324968583
43	0.539206706	1.320584814
44	0.539477618	1.316180525
45	0.5397241417	1.31320753
46	0.5404522212	1.309454641
47	0.5412741248	1.304878214
48	0.5418246429	1.300663274
49	0.5421968833	1.297219595
50	0.542776861	1.294241063
51	0.5429597679	1.289864675
52	0.5435077042	1.287318154
53	0.5441604059	1.284359293
54	0.5443458147	1.281753014
55	0.5448378596	1.278412566
56	0.545232322	1.275608225
57	0.5458501554	1.271364004
58	0.5462552294	1.268839459
59	0.5467521269	1.266726395
60	0.547104236	1.264113767
61	0.5476739642	1.26136969
62	0.5482549212	1.258788622
63	0.5484648795	1.256759328
64	0.5489265562	1.253665278
65	0.5493100947	1.251668477
66	0.5503375578	1.249529473
67	0.550263289	1.246588066
68	0.5507523582	1.244285066
69	0.5515734865	1.241976586
70	0.5517350443	1.24010532
71	0.5521007601	1.2376712
72	0.5522618196	1.235622167
73	0.5525809166	1.234195843
74	0.552558435	1.232074172
75	0.5530362486	1.230008037
76	0.5534707349	1.228512806
77	0.5540899773	1.226192647
78	0.5540045578	1.224692482
79	0.5544305328	1.222402926
80	0.5551320151	1.219770294
81	0.5557584915	1.217079109
82	0.5559352619	1.215108184
83	0.5561888989	1.213398794
84	0.556518553	1.21224835
85	0.5571881846	1.209210794
86	0.5576290369	1.207709527
87	0.5580273807	1.206698393
88	0.5581250313	1.205145084
89	0.5585175016	1.203884879
90	0.5587624599	1.20165795
91	0.5595881125	1.200063644
92	0.5600337239	1.198389347
93	0.5608638902	1.196339044
94	0.5608920188	1.194086358
95	0.561647599	1.192412572
96	0.5623279383	1.190462362
97	0.5625419536	1.188729528
98	0.5629988886	1.186317611
99	0.5636479518	1.185047804
100	0.5640418405	1.183549609
101	0.5641061936	1.182391712
102	0.5646229845	1.181359001
103	0.5654273247	1.178910331
104	0.566082793	1.177719705
105	0.566182041	1.176864533
106	0.5670171963	1.174870562
107	0.5671280833	1.174080333
108	0.5677690598	1.172183537
109	0.5683831073	1.170041999
110	0.5690557002	1.168706723
111	0.5699369675	1.166672144
112	0.5703213053	1.165908718
113	0.5706010201	1.164841535
114	0.5709571061	1.16365302
115	0.5715432166	1.160602093
116	0.5720337296	1.159218932
117	0.5723331524	1.158245308
118	0.572500634	1.157308758
119	0.5728977603	1.156356085
120	0.5730156512	1.155700861
121	0.5737071629	1.153935825
122	0.5739492178	1.15271591
123	0.5743858049	1.151325367
124	0.5747747556	1.15040284
125	0.5752055823	1.149120052
126	0.5753396144	1.147964498
127	0.5755447063	1.146865924
128	0.5761989572	1.145331326
129	0.5761357775	1.143799699
130	0.5763161351	1.142836655
131	0.5768708112	1.14162939
132	0.5773578334	1.140438743
133	0.5780371097	1.139319848
134	0.578786257	1.137758742
135	0.5792019436	1.136525586
136	0.5796892699	1.134813964
137	0.5797900851	1.133864645
138	0.5801414123	1.132417508
139	0.5802262887	1.131715085
140	0.581451049	1.129288189
141	0.5821753447	1.126658076
142	0.5827301465	1.124739842
143	0.582781866	1.123887967
144	0.5833068118	1.121661473
145	0.5835646494	1.120862289
146	0.5838369054	1.119983177
147	0.5844188824	1.119096796
148	0.584543494	1.117226231
149	0.5851442751	1.116019551
150	0.5857334889	1.114812154
151	0.5860266718	1.114297742
152	0.5861702041	1.112913775
153	0.5866994855	1.112115142
154	0.5870161735	1.111281637
155	0.5872509396	1.109869014
156	0.5876816501	1.108576394
157	0.5880188443	1.107512691
158	0.5889953797	1.105852822
159	0.5891185089	1.105441015
160	0.5894800581	1.103525533
161	0.5899199505	1.10254431
162	0.5906182554	1.100390056
163	0.5909542933	1.098314137
164	0.5914385367	1.097417348
165	0.5920773142	1.095880128
166	0.5922306847	1.095096416
167	0.5923499886	1.094408202
168	0.593058246	1.092687479
169	0.5932076183	1.091924533
170	0.5937971598	1.090793884
171	0.5937012456	1.0902355
172	0.5942730652	1.089488151
173	0.5946256809	1.088948304
174	0.5950956935	1.087433217
175	0.5949354311	1.086663538
176	0.5956576183	1.086053277
177	0.5960551384	1.085143687
178	0.5968373985	1.082943742
179	0.5971131238	1.081548432
180	0.5976044144	1.080077562
181	0.5977808088	1.079280464
182	0.5978570875	1.078534497
183	0.5984248446	1.077239885
184	0.5986048528	1.076633891
185	0.5988819987	1.075830411
186	0.599330314	1.075015667
187	0.5994185369	1.07437049
188	0.6000917081	1.072916015
189	0.6001345525	1.072536923
190	0.6002469442	1.071736968
191	0.60035233	1.071362173
192	0.6005603043	1.071139699
