iter	Passed	Remaining
0	47	95620
1	103	103550
2	156	104014
3	208	104271
4	254	101579
5	299	99505
6	344	98111
7	395	98448
8	444	98299
9	489	97405
10	536	97053
11	583	96598
12	635	97180
13	682	96867
14	729	96568
15	775	96194
16	824	96160
17	871	95990
18	924	96379
19	970	96054
20	1012	95457
21	1055	94892
22	1098	94428
23	1155	95103
24	1206	95295
25	1249	94847
26	1296	94732
27	1341	94467
28	1384	94073
29	1429	93864
30	1472	93538
31	1515	93181
32	1560	93034
33	1605	92837
34	1650	92650
35	1694	92462
36	1738	92212
37	1786	92244
38	1835	92294
39	1884	92363
40	1928	92124
41	1973	92009
42	2019	91902
43	2066	91865
44	2112	91776
45	2159	91730
46	2203	91558
47	2258	91862
48	2312	92084
49	2366	92300
50	2424	92642
51	2494	93436
52	2559	94034
53	2629	94764
54	2695	95312
55	2760	95823
56	2823	96242
57	2882	96527
58	2939	96691
59	2991	96711
60	3041	96684
61	3092	96676
62	3148	96791
63	3203	96907
64	3258	97000
65	3312	97053
66	3369	97223
67	3431	97508
68	3488	97625
69	3542	97681
70	3584	97397
71	3630	97204
72	3668	96830
73	3710	96577
74	3752	96316
75	3796	96109
76	3840	95915
77	3884	95712
78	3929	95561
79	3974	95399
80	4048	95912
81	4106	96046
82	4158	96036
83	4202	95862
84	4248	95720
85	4300	95709
86	4348	95608
87	4393	95454
88	4442	95396
89	4483	95151
90	4529	95012
91	4568	94756
92	4611	94560
93	4650	94291
94	4704	94343
95	4749	94189
96	4793	94041
97	4844	94016
98	4895	94010
99	4945	93960
100	4990	93832
101	5037	93742
102	5086	93672
103	5130	93528
104	5170	93318
105	5212	93133
106	5252	92928
107	5293	92728
108	5335	92567
109	5378	92407
110	5423	92292
111	5469	92198
112	5509	92004
113	5552	91867
114	5596	91733
115	5640	91602
116	5683	91477
117	5724	91306
118	5765	91138
119	5807	90989
120	5848	90823
121	5891	90694
122	5935	90580
123	5977	90439
124	6020	90312
125	6065	90211
126	6105	90049
127	6146	89885
128	6189	89769
129	6235	89688
130	6277	89562
131	6320	89439
132	6363	89324
133	6400	89136
134	6439	88962
135	6482	88846
136	6522	88695
137	6562	88551
138	6604	88421
139	6647	88320
140	6691	88220
141	6733	88103
142	6777	88013
143	6817	87865
144	6856	87715
145	6901	87642
146	6945	87552
147	6993	87510
148	7045	87526
149	7101	87579
150	7154	87605
151	7198	87513
152	7250	87532
153	7303	87552
154	7354	87541
155	7402	87505
156	7453	87491
157	7504	87488
158	7558	87516
159	7610	87526
160	7661	87509
161	7711	87496
162	7757	87429
163	7802	87345
164	7845	87254
165	7889	87162
166	7931	87052
167	7975	86971
168	8016	86851
169	8057	86734
170	8099	86627
171	8141	86531
172	8184	86432
173	8229	86362
174	8272	86273
175	8313	86153
176	8356	86066
177	8398	85963
178	8438	85844
179	8480	85744
180	8519	85614
181	8560	85515
182	8610	85490
183	8659	85461
184	8707	85428
185	8750	85345
186	8795	85275
187	8832	85128
188	8875	85046
189	8919	84971
190	8967	84928
191	9011	84862
192	9058	84815
193	9105	84767
194	9150	84704
195	9198	84664
196	9243	84595
197	9287	84522
198	9329	84430
199	9374	84366
200	9421	84324
201	9467	84265
202	9510	84185
203	9557	84146
204	9608	84136
205	9661	84140
206	9717	84173
207	9774	84208
208	9822	84170
209	9867	84109
210	9914	84065
211	9963	84030
212	10007	83961
213	10053	83904
214	10108	83923
215	10164	83950
216	10225	84022
217	10290	84114
218	10350	84172
219	10412	84246
220	10467	84264
221	10526	84310
222	10582	84325
223	10645	84402
224	10706	84463
225	10773	84565
226	10837	84643
227	10937	85003
228	11003	85096
229	11072	85210
230	11126	85205
231	11178	85186
232	11230	85164
233	11279	85125
234	11340	85177
235	11395	85174
236	11462	85267
237	11527	85339
238	11589	85397
239	11652	85448
240	11713	85491
241	11766	85475
242	11827	85518
243	11894	85603
244	11960	85678
245	12025	85745
246	12096	85849
247	12164	85932
248	12219	85930
249	12266	85868
250	12311	85788
251	12356	85708
252	12399	85620
253	12443	85537
254	12495	85511
255	12539	85423
256	12582	85332
257	12621	85222
258	12663	85125
259	12704	85021
260	12744	84916
261	12784	84804
262	12826	84715
263	12873	84654
264	12918	84578
265	12964	84516
266	13014	84474
267	13063	84428
268	13118	84416
269	13179	84445
270	13240	84474
271	13298	84486
272	13352	84470
273	13411	84484
274	13481	84563
275	13538	84567
276	13601	84602
277	13658	84604
278	13717	84617
279	13775	84622
280	13842	84678
281	13896	84663
282	13942	84590
283	14000	84592
284	14054	84574
285	14120	84622
286	14184	84662
287	14229	84588
288	14282	84560
289	14345	84591
290	14414	84654
291	14488	84749
292	14563	84845
293	14634	84921
294	14710	85024
295	14775	85061
296	14836	85073
297	14901	85107
298	14967	85149
299	15032	85183
300	15094	85200
301	15159	85235
302	15215	85214
303	15275	85219
304	15334	85217
305	15393	85215
306	15453	85222
307	15513	85221
308	15565	85183
309	15625	85182
310	15681	85166
311	15740	85161
312	15796	85137
313	15849	85103
314	15909	85101
315	15967	85094
316	16027	85094
317	16082	85063
318	16131	85006
319	16190	85000
320	16248	84988
321	16312	85005
322	16375	85018
323	16435	85016
324	16493	85004
325	16553	85001
326	16609	84975
327	16660	84928
328	16721	84929
329	16785	84947
330	16848	84954
331	16913	84975
332	16977	84987
333	17044	85020
334	17107	85025
335	17165	85011
336	17227	85012
337	17289	85013
338	17344	84984
339	17405	84981
340	17460	84946
341	17516	84919
342	17574	84901
343	17637	84905
344	17695	84886
345	17749	84848
346	17806	84825
347	17863	84801
348	17920	84777
349	17973	84733
350	18036	84737
351	18095	84718
352	18155	84706
353	18212	84684
354	18272	84670
355	18331	84652
356	18392	84644
357	18453	84639
358	18511	84618
359	18573	84614
360	18633	84598
361	18692	84582
362	18753	84569
363	18816	84570
364	18876	84555
365	18933	84526
366	18988	84489
367	19043	84455
368	19104	84440
369	19161	84412
370	19224	84411
371	19287	84410
372	19359	84445
373	19473	84662
374	19558	84751
375	19633	84798
376	19693	84782
377	19761	84796
378	19820	84775
379	19875	84731
380	19932	84702
381	19994	84689
382	20060	84692
383	20125	84694
384	20187	84683
385	20248	84666
386	20308	84643
387	20370	84631
388	20431	84615
389	20488	84580
390	20542	84535
391	20601	84507
392	20661	84485
393	20723	84471
394	20784	84454
395	20842	84421
396	20901	84397
397	20956	84353
398	21010	84304
399	21072	84290
400	21130	84259
401	21190	84234
402	21248	84204
403	21306	84172
404	21361	84126
405	21418	84092
406	21473	84048
407	21530	84011
408	21584	83962
409	21645	83940
410	21705	83918
411	21774	83926
412	21847	83951
413	21912	83945
414	21975	83931
415	22043	83935
416	22099	83894
417	22161	83874
418	22224	83857
419	22287	83844
420	22344	83804
421	22405	83781
422	22464	83750
423	22529	83740
424	22595	83735
425	22656	83711
426	22718	83691
427	22781	83673
428	22846	83664
429	22904	83628
430	22961	83589
431	23015	83536
432	23076	83511
433	23126	83447
434	23183	83408
435	23247	83393
436	23312	83382
437	23370	83343
438	23426	83299
439	23488	83277
440	23542	83224
441	23598	83180
442	23653	83133
443	23711	83097
444	23770	83063
445	23826	83019
446	23887	82992
447	23946	82959
448	24013	82951
449	24081	82946
450	24145	82931
451	24217	82941
452	24278	82910
453	24346	82907
454	24419	82918
455	24479	82887
456	24533	82833
457	24579	82756
458	24631	82696
459	24679	82621
460	24723	82535
461	24773	82470
462	24819	82392
463	24861	82301
464	24914	82244
465	24961	82169
466	25006	82088
467	25056	82021
468	25098	81932
469	25146	81859
470	25193	81785
471	25240	81712
472	25289	81644
473	25339	81579
474	25390	81516
475	25443	81460
476	25494	81399
477	25543	81332
478	25592	81266
479	25642	81201
480	25696	81148
481	25746	81085
482	25806	81051
483	25864	81012
484	25920	80967
485	25970	80904
486	26008	80803
487	26055	80729
488	26111	80685
489	26160	80615
490	26212	80560
491	26274	80532
492	26331	80490
493	26385	80438
494	26438	80382
495	26598	80652
496	26664	80636
497	26729	80618
498	26797	80608
499	26860	80582
500	26918	80539
501	26977	80502
502	27031	80448
503	27089	80407
504	27153	80386
505	27209	80336
506	27264	80286
507	27310	80210
508	27360	80147
509	27416	80097
510	27472	80053
511	27527	80002
512	27585	79960
513	27638	79904
514	27695	79859
515	27752	79815
516	27800	79743
517	27861	79712
518	27917	79665
519	27978	79631
520	28033	79579
521	28077	79499
522	28125	79428
523	28187	79399
524	28242	79347
525	28293	79285
526	28342	79219
527	28397	79167
528	28453	79121
529	28506	79066
530	28553	78991
531	28602	78926
532	28656	78872
533	28714	78829
534	28778	78805
535	28828	78740
536	28882	78687
537	28934	78628
538	28990	78580
539	29043	78524
540	29106	78497
541	29164	78453
542	29223	78412
543	29284	78378
544	29337	78321
545	29394	78277
546	29455	78243
547	29504	78175
548	29556	78117
549	29605	78051
550	29655	77986
551	29704	77919
552	29756	77861
553	29805	77794
554	29864	77755
555	29915	77694
556	29963	77626
557	30008	77548
558	30051	77466
559	30101	77403
560	30152	77342
561	30200	77275
562	30243	77193
563	30292	77128
564	30342	77064
565	30392	77002
566	30452	76963
567	30511	76922
568	30567	76874
569	30624	76829
570	30684	76791
571	30741	76746
572	30803	76712
573	30862	76672
574	30921	76632
575	30981	76592
576	31040	76551
577	31094	76499
578	31155	76463
579	31213	76418
580	31275	76385
581	31334	76344
582	31392	76301
583	31456	76270
584	31522	76246
585	31591	76228
586	31660	76211
587	31724	76182
588	31794	76166
589	31858	76135
590	31916	76091
591	31970	76037
592	32032	76003
593	32098	75977
594	32160	75942
595	32224	75910
596	32287	75878
597	32347	75837
598	32408	75800
599	32467	75756
600	32531	75725
601	32596	75698
602	32646	75634
603	32707	75594
604	32766	75551
605	32829	75518
606	32899	75499
607	32967	75477
608	33030	75444
609	33095	75413
610	33160	75384
611	33214	75330
612	33276	75292
613	33333	75245
614	33390	75197
615	33454	75164
616	33513	75119
617	33571	75073
618	33627	75024
619	33678	74960
620	33742	74929
621	33810	74905
622	33880	74885
623	33949	74862
624	34021	74846
625	34105	74857
626	34183	74855
627	34265	74860
628	34330	74828
629	34393	74792
630	34505	74861
631	34578	74847
632	34644	74816
633	34710	74787
634	34775	74754
635	34836	74711
636	34896	74669
637	34951	74614
638	35003	74553
639	35062	74507
640	35118	74455
641	35173	74402
642	35231	74352
643	35285	74297
644	35344	74251
645	35402	74202
646	35457	74147
647	35510	74089
648	35570	74046
649	35631	74003
650	35684	73944
651	35738	73889
652	35791	73831
653	35847	73777
654	35903	73726
655	35960	73675
656	36018	73625
657	36075	73576
658	36133	73528
659	36188	73474
660	36248	73429
661	36305	73379
662	36363	73329
663	36428	73296
664	36489	73252
665	36557	73223
666	36625	73195
667	36692	73165
668	36759	73134
669	36831	73112
670	36898	73082
671	36962	73044
672	37017	72989
673	37080	72949
674	37134	72894
675	37185	72831
676	37247	72789
677	37307	72743
678	37367	72698
679	37426	72652
680	37480	72594
681	37531	72530
682	37590	72484
683	37642	72422
684	37700	72374
685	37757	72322
686	37816	72274
687	37873	72223
688	37928	72168
689	37982	72111
690	38044	72069
691	38099	72015
692	38165	71979
693	38225	71934
694	38274	71867
695	38323	71802
696	38371	71733
697	38427	71679
698	38486	71632
699	38546	71587
700	38607	71541
701	38661	71484
702	38715	71428
703	38773	71377
704	38828	71323
705	38890	71280
706	38954	71241
707	39019	71204
708	39081	71163
709	39146	71125
710	39212	71089
711	39272	71043
712	39332	70996
713	39392	70950
714	39446	70893
715	39504	70842
716	39560	70788
717	39608	70721
718	39663	70666
719	39726	70625
720	39784	70574
721	39840	70521
722	39902	70478
723	39994	70488
724	40056	70444
725	40121	70405
726	40179	70355
727	40239	70309
728	40299	70262
729	40355	70206
730	40417	70163
731	40473	70110
732	40533	70062
733	40590	70010
734	40644	69953
735	40704	69905
736	40767	69864
737	40825	69813
738	40882	69759
739	40938	69705
740	40998	69658
741	41048	69595
742	41108	69547
743	41166	69496
744	41227	69451
745	41287	69403
746	41352	69363
747	41417	69324
748	41480	69281
749	41549	69249
750	41608	69200
751	41663	69143
752	41719	69089
753	41786	69052
754	41848	69008
755	41909	68961
756	41963	68904
757	42020	68851
758	42077	68798
759	42135	68747
760	42193	68696
761	42250	68642
762	42305	68587
763	42357	68525
764	42415	68474
765	42476	68428
766	42539	68385
767	42595	68330
768	42648	68271
769	42698	68206
770	42745	68138
771	42788	68062
772	42833	67990
773	42889	67935
774	42939	67871
775	42985	67802
776	43033	67734
777	43084	67671
778	43137	67613
779	43188	67551
780	43232	67478
781	43280	67411
782	43335	67355
783	43382	67287
784	43436	67230
785	43488	67168
786	43541	67110
787	43591	67046
788	43644	66988
789	43700	66933
790	43751	66871
791	43805	66814
792	43860	66758
793	43916	66704
794	43968	66643
795	44029	66596
796	44078	66532
797	44127	66467
798	44171	66394
799	44215	66322
800	44261	66254
801	44313	66194
802	44359	66124
803	44411	66065
804	44456	65995
805	44502	65925
806	44548	65856
807	44598	65794
808	44641	65720
809	44691	65658
810	44734	65584
811	44788	65527
812	44835	65461
813	44882	65393
814	44932	65330
815	44979	65264
816	45032	65206
817	45089	65154
818	45140	65092
819	45190	65029
820	45239	64966
821	45286	64899
822	45335	64836
823	45388	64778
824	45439	64717
825	45493	64659
826	45543	64597
827	45592	64533
828	45643	64473
829	45692	64410
830	45741	64346
831	45794	64288
832	45843	64224
833	45896	64166
834	45941	64097
835	45992	64037
836	46041	63973
837	46091	63911
838	46143	63853
839	46196	63795
840	46264	63757
841	46320	63704
842	46377	63652
843	46438	63605
844	46492	63548
845	46541	63485
846	46592	63425
847	46639	63358
848	46694	63303
849	46745	63244
850	46793	63179
851	46838	63110
852	46892	63055
853	46943	62994
854	46993	62932
855	47041	62868
856	47096	62813
857	47147	62753
858	47198	62693
859	47247	62630
860	47295	62566
861	47353	62516
862	47412	62465
863	47462	62404
864	47507	62336
865	47555	62271
866	47604	62209
867	47659	62154
868	47715	62101
869	47764	62038
870	47817	61980
871	47867	61920
872	47920	61862
873	47976	61809
874	48035	61759
875	48094	61710
876	48151	61658
877	48214	61612
878	48278	61569
879	48343	61528
880	48405	61482
881	48475	61446
882	48536	61398
883	48600	61355
884	48671	61320
885	48739	61281
886	48808	61244
887	48869	61197
888	48924	61141
889	48982	61090
890	49040	61039
891	49101	60991
892	49155	60934
893	49211	60881
894	49265	60824
895	49322	60772
896	49380	60720
897	49437	60668
898	49495	60616
899	49557	60569
900	49620	60524
901	49679	60475
902	49733	60418
903	49789	60364
904	49840	60304
905	49895	60248
906	49954	60198
907	50009	60143
908	50065	60089
909	50123	60037
910	50175	59979
911	50229	59923
912	50290	59874
913	50346	59820
914	50400	59764
915	50453	59707
916	50509	59653
917	50563	59596
918	50619	59542
919	50688	59504
920	50750	59457
921	50813	59410
922	50874	59362
923	50931	59309
924	51000	59270
925	51067	59229
926	51118	59169
927	51170	59110
928	51254	59089
929	51309	59033
930	51359	58972
931	51411	58913
932	51462	58853
933	51507	58786
934	51553	58721
935	51611	58669
936	51666	58614
937	51731	58569
938	51803	58534
939	51869	58491
940	51926	58438
941	51981	58382
942	52039	58330
943	52097	58279
944	52160	58231
945	52220	58182
946	52286	58138
947	52347	58090
948	52396	58028
949	52442	57963
950	52486	57895
951	52528	57825
952	52568	57753
953	52613	57687
954	52658	57621
955	52699	57550
956	52736	57475
957	52778	57406
958	52816	57332
959	52859	57264
960	52900	57194
961	52939	57122
962	52978	57049
963	53021	56981
964	53060	56909
965	53102	56840
966	53142	56769
967	53179	56695
968	53218	56623
969	53258	56553
970	53298	56482
971	53338	56411
972	53385	56348
973	53426	56279
974	53469	56211
975	53511	56142
976	53553	56074
977	53593	56005
978	53637	55938
979	53680	55871
980	53718	55799
981	53760	55731
982	53805	55666
983	53847	55598
984	53890	55531
985	53935	55467
986	53984	55406
987	54028	55341
988	54074	55277
989	54126	55220
990	54171	55155
991	54218	55092
992	54263	55028
993	54306	54961
994	54346	54892
995	54388	54825
996	54436	54763
997	54486	54705
998	54528	54637
999	54571	54571
1000	54622	54512
1001	54668	54450
1002	54708	54381
1003	54753	54317
1004	54797	54252
1005	54841	54186
1006	54881	54118
1007	54925	54053
1008	54969	53989
1009	55013	53924
1010	55059	53861
1011	55103	53796
1012	55147	53732
1013	55189	53665
1014	55230	53597
1015	55271	53531
1016	55313	53464
1017	55354	53397
1018	55392	53326
1019	55434	53261
1020	55476	53194
1021	55516	53126
1022	55556	53058
1023	55598	52992
1024	55648	52934
1025	55692	52870
1026	55733	52803
1027	55775	52737
1028	55815	52669
1029	55857	52603
1030	55899	52537
1031	55937	52468
1032	55974	52398
1033	56011	52327
1034	56052	52261
1035	56094	52196
1036	56139	52133
1037	56183	52069
1038	56223	52002
1039	56265	51937
1040	56307	51871
1041	56353	51811
1042	56397	51747
1043	56440	51683
1044	56485	51621
1045	56532	51559
1046	56576	51497
1047	56619	51432
1048	56666	51372
1049	56708	51307
1050	56750	51243
1051	56793	51178
1052	56833	51112
1053	56869	51042
1054	56909	50975
1055	56952	50912
1056	56990	50843
1057	57029	50776
1058	57071	50712
1059	57117	50651
1060	57156	50583
1061	57196	50518
1062	57238	50453
1063	57281	50390
1064	57324	50327
1065	57364	50261
1066	57404	50195
1067	57445	50130
1068	57495	50072
1069	57535	50007
1070	57576	49942
1071	57620	49880
1072	57662	49816
1073	57702	49751
1074	57744	49687
1075	57786	49623
1076	57827	49558
1077	57867	49493
1078	57908	49428
1079	57948	49363
1080	57991	49300
1081	58033	49237
1082	58076	49174
1083	58120	49112
1084	58166	49052
1085	58212	48992
1086	58256	48931
1087	58304	48872
1088	58352	48814
1089	58394	48751
1090	58438	48690
1091	58485	48631
1092	58530	48570
1093	58573	48507
1094	58616	48445
1095	58661	48384
1096	58709	48326
1097	58758	48269
1098	58806	48212
1099	58858	48156
1100	58905	48098
1101	58958	48044
1102	59010	47989
1103	59058	47931
1104	59106	47873
1105	59151	47813
1106	59199	47755
1107	59245	47695
1108	59298	47642
1109	59345	47583
1110	59385	47519
1111	59429	47458
1112	59474	47397
1113	59518	47337
1114	59562	47276
1115	59606	47214
