iter	Passed	Remaining
0	61	61662
1	105	52642
2	148	49333
3	189	47244
4	235	46774
5	275	45656
6	323	45852
7	367	45584
8	408	44953
9	451	44703
10	492	44270
11	537	44274
12	583	44330
13	627	44173
14	674	44304
15	722	44438
16	767	44403
17	811	44288
18	856	44198
19	901	44192
20	944	44025
21	986	43862
22	1027	43626
23	1064	43290
24	1106	43144
25	1149	43070
26	1193	43018
27	1234	42865
28	1276	42752
29	1319	42677
30	1368	42791
31	1416	42857
32	1469	43046
33	1518	43147
34	1566	43188
35	1617	43318
36	1658	43167
37	1711	43321
38	1752	43195
39	1794	43075
40	1834	42916
41	1876	42805
42	1917	42681
43	1960	42587
44	2002	42494
45	2045	42413
46	2085	42282
47	2128	42219
48	2169	42098
49	2205	41910
50	2246	41806
51	2287	41695
52	2326	41570
53	2366	41465
54	2402	41282
55	2435	41053
56	2474	40930
57	2510	40774
58	2558	40806
59	2599	40725
60	2649	40783
61	2697	40812
62	2749	40891
63	2790	40813
64	2832	40740
65	2868	40595
66	2910	40530
67	2950	40433
68	2993	40392
69	3033	40308
70	3081	40323
71	3129	40331
72	3169	40242
73	3210	40170
74	3249	40076
75	3283	39917
76	3324	39845
77	3359	39706
78	3396	39599
79	3441	39580
80	3479	39471
81	3515	39357
82	3553	39262
83	3587	39116
84	3623	39009
85	3660	38903
86	3699	38821
87	3744	38802
88	3792	38817
89	3836	38788
90	3875	38711
91	3914	38636
92	3961	38635
93	4012	38674
94	4065	38731
95	4127	38865
96	4178	38899
97	4226	38900
98	4269	38856
99	4317	38859
100	4361	38824
101	4406	38793
102	4448	38737
103	4492	38700
104	4540	38706
105	4582	38652
106	4623	38587
107	4664	38523
108	4704	38452
109	4745	38392
110	4785	38326
111	4824	38253
112	4868	38212
113	4906	38135
114	4945	38056
115	4983	37979
116	5019	37885
117	5057	37800
118	5097	37737
119	5135	37658
120	5171	37569
121	5208	37481
122	5244	37394
123	5282	37319
124	5322	37258
125	5365	37215
126	5401	37131
127	5441	37070
128	5491	37079
129	5527	36993
130	5565	36920
131	5610	36892
132	5656	36876
133	5691	36780
134	5734	36741
135	5774	36683
136	5810	36603
137	5852	36555
138	5894	36513
139	5932	36440
140	5969	36365
141	6007	36300
142	6046	36238
143	6085	36175
144	6121	36097
145	6160	36035
146	6200	35982
147	6238	35913
148	6274	35838
149	6310	35758
150	6353	35720
151	6389	35645
152	6434	35621
153	6463	35504
154	6501	35441
155	6553	35455
156	6600	35442
157	6641	35392
158	6680	35332
159	6726	35312
160	6763	35248
161	6799	35171
162	6835	35099
163	6864	34992
164	6893	34883
165	6923	34783
166	6951	34673
167	6980	34568
168	7008	34459
169	7035	34350
170	7066	34256
171	7094	34150
172	7123	34053
173	7155	33969
174	7187	33884
175	7220	33806
176	7252	33723
177	7281	33623
178	7308	33521
179	7343	33452
180	7371	33352
181	7398	33251
182	7426	33155
183	7460	33087
184	7491	33004
185	7520	32910
186	7549	32822
187	7578	32730
188	7607	32644
189	7639	32570
190	7672	32497
191	7701	32412
192	7742	32372
193	7772	32290
194	7801	32207
195	7837	32150
196	7870	32080
197	7903	32012
198	7935	31939
199	7966	31864
200	7995	31784
201	8034	31738
202	8063	31656
203	8092	31576
204	8119	31487
205	8147	31404
206	8175	31319
207	8200	31225
208	8231	31154
209	8260	31075
210	8286	30987
211	8315	30907
212	8342	30825
213	8371	30748
214	8401	30676
215	8430	30599
216	8460	30528
217	8495	30474
218	8529	30419
219	8562	30358
220	8596	30303
221	8638	30273
222	8682	30253
223	8724	30224
224	8763	30184
225	8799	30136
226	8838	30096
227	8907	30158
228	8959	30166
229	8997	30122
230	9041	30099
231	9086	30080
232	9139	30084
233	9178	30045
234	9224	30029
235	9274	30025
236	9323	30017
237	9371	30004
238	9410	29962
239	9458	29952
240	9510	29950
241	9566	29966
242	9613	29949
243	9665	29945
244	9718	29949
245	9774	29960
246	9822	29945
247	9874	29942
248	9932	29956
249	9971	29915
250	10006	29860
251	10043	29812
252	10082	29769
253	10118	29716
254	10150	29654
255	10181	29588
256	10221	29549
257	10251	29482
258	10290	29441
259	10325	29388
260	10365	29348
261	10399	29292
262	10440	29256
263	10485	29233
264	10528	29200
265	10567	29160
266	10611	29131
267	10651	29094
268	10698	29072
269	10738	29033
270	10780	28999
271	10823	28968
272	10865	28934
273	10899	28880
274	10935	28830
275	10972	28782
276	11009	28735
277	11048	28693
278	11077	28626
279	11118	28591
